bandwidth,selected_bandwidth,validation_loss,u0,hour,rep,m_target,ScalarRidge_lambda,LR,LR_mae,LR_r2,Pooled,Pooled_mae,Pooled_r2,DVCM,DVCM_mae,DVCM_r2,ScalarRidge,ScalarRidge_mae,ScalarRidge_r2,TL,TL_mae,TL_r2
0.05,0.05,0.2422055007496696,0.21739130434782608,5.0,2,352,0.1,0.24608546575937973,0.3681893487696959,0.674952860086424,0.3160872565337336,0.42714406185949455,0.5824895290651566,0.34759826848539405,0.4400739923390891,0.5408675491604806,0.25030592648429084,0.36704172067134255,0.6693781761711565,0.2402256163938401,0.356441256643255,0.6826929648127041
0.05,0.05,0.20406265321637299,0.21739130434782608,5.0,3,352,0.01,0.2893369063168558,0.3942013714593181,0.5319016597832456,0.330007943486156,0.43528693059379103,0.4661027776558664,0.3437268728057842,0.40496389904484775,0.44390786264894244,0.3010815211226983,0.42029010099277614,0.5129008528447782,0.27255510402693495,0.37224868680098827,0.5590517869403909
0.02,0.02,0.23962716710900744,0.21739130434782608,5.0,4,352,0.1,0.41355653579889096,0.3653888652736406,0.41203068700349554,0.27616327555084763,0.3934353757715137,0.6073679960423644,0.21319396718158576,0.3358274330347932,0.6968938958331112,0.25576553233284205,0.35606122411298236,0.6363682560513176,0.269423395541605,0.35336377273037745,0.6169503439819466
0.02,0.02,0.41688275769225247,0.2608695652173913,6.0,0,352,10.0,0.3636943864932459,0.48125668544490546,0.5959477704855827,0.43327259908204496,0.5137539320668448,0.5186487167575307,0.3660544592437526,0.47450820583423936,0.5933258090474285,0.34868788402564815,0.4685248466156333,0.6126194899413326,0.34788281804887133,0.4537298541340183,0.6135138911608822
0.03,0.03,0.3582867580376205,0.2608695652173913,6.0,1,352,0.01,0.4142253911394374,0.4843145820932916,0.5966590087517878,0.5145360086273033,0.53153096846214,0.4989842047544234,0.42737510143495866,0.4981356106308412,0.5838548270220468,0.45110844999740396,0.5040454061452666,0.5607451081598498,0.4212832320157905,0.48327160354893195,0.5897866233402858
0.02,0.02,0.31895282865132935,0.2608695652173913,6.0,2,352,1.0,0.4142995077283691,0.5014163096449774,0.6219641514410807,0.5520387830670236,0.5674363073366132,0.49628120260523934,0.42797162043776577,0.5117036118041738,0.6094887595246639,0.40799858998071886,0.48936775784536063,0.6277135495045576,0.41992736429022576,0.49857844095846754,0.6168289014800206
0.02,0.02,0.3134783223242873,0.2608695652173913,6.0,3,352,0.1,0.4808930698651157,0.517537553121262,0.4671299120695661,0.44963232967637434,0.5480047408386335,0.501769449249458,0.44485121623687296,0.518233602388769,0.5070673262590542,0.7072399647021934,0.5552832009459483,0.2163184587282967,0.43830917321962914,0.5045093799218776,0.5143164617868777
0.02,0.02,0.4706114760245583,0.2608695652173913,6.0,4,352,0.1,0.37506840058115987,0.47205100109390674,0.6180195980134656,0.3986839328144086,0.48428739230815476,0.5939688635831457,0.34902784698997563,0.46909844553744545,0.6445400436529805,0.6565096280435624,0.5096724147021393,0.3313917908319073,0.32313245632762055,0.451143309057733,0.6709126512079706
0.15,0.15,0.8691364718210296,0.30434782608695654,7.0,0,353,1.0,0.6856606274157857,0.6897270962346841,0.33517965033617914,0.701504620392585,0.6960622872169916,0.3198172268139089,0.9769417064483631,0.8559099191519565,0.05275189953656423,0.6984541984194093,0.728956199413541,0.32277493288851944,0.7893230175869009,0.778819325725153,0.23466802151436406
0.03,0.03,0.6893698075580721,0.30434782608695654,7.0,1,353,1.0,0.546454939741229,0.623660021032814,0.5088310988155662,0.6479778015698163,0.6811415518182973,0.41757952642963536,0.5541412370812833,0.6393013411280026,0.5019224409480412,0.6531686765708229,0.6392876458114513,0.4129138235783857,0.5146901597831883,0.6045474558522012,0.5373821666780773
